Type,Size,Time
Dot_Product,500000,0.0020225
Dot_Product,500000,0.002296
Dot_Product,500000,0.0124391
Dot_Product,500000,0.0020111
Dot_Product,500000,0.0022763
Dot_Product,500000,0.0025787
Dot_Product,500000,0.002224
Dot_Product,500000,0.0020219
Dot_Product,500000,0.0019061
Dot_Product,500000,0.0122747
Dot_Product,1000000,0.0040084
Dot_Product,1000000,0.0038486
Dot_Product,1000000,0.0039736
Dot_Product,1000000,0.0116996
Dot_Product,1000000,0.0038851
Dot_Product,1000000,0.005177
Dot_Product,1000000,0.0040847
Dot_Product,1000000,0.0070912
Dot_Product,1000000,0.0048999
Dot_Product,1000000,0.0038579
Dot_Product,1500000,0.0055475
Dot_Product,1500000,0.0108003
Dot_Product,1500000,0.0056187
Dot_Product,1500000,0.0071114
Dot_Product,1500000,0.0101285
Dot_Product,1500000,0.0066553
Dot_Product,1500000,0.0094432
Dot_Product,1500000,0.0069268
Dot_Product,1500000,0.008036
Dot_Product,1500000,0.0106559
Dot_Product,2000000,0.0074549
Dot_Product,2000000,0.0110096
Dot_Product,2000000,0.0074768
Dot_Product,2000000,0.0118056
Dot_Product,2000000,0.007889
Dot_Product,2000000,0.0086602
Dot_Product,2000000,0.014255
Dot_Product,2000000,0.0095745
Dot_Product,2000000,0.0121446
Dot_Product,2000000,0.0093532
Dot_Product,2500000,0.0141987
Dot_Product,2500000,0.0094581
Dot_Product,2500000,0.0150312
Dot_Product,2500000,0.0106949
Dot_Product,2500000,0.015531
Dot_Product,2500000,0.0121586
Dot_Product,2500000,0.0198597
Dot_Product,2500000,0.0131947
Dot_Product,2500000,0.0140258
Dot_Product,2500000,0.0106207
Dot_Product,3000000,0.0163447
Dot_Product,3000000,0.012094
Dot_Product,3000000,0.017704
Dot_Product,3000000,0.011952
Dot_Product,3000000,0.0167732
Dot_Product,3000000,0.0121754
Dot_Product,3000000,0.0163898
Dot_Product,3000000,0.0119389
Dot_Product,3000000,0.01707
Dot_Product,3000000,0.0129191
Dot_Product,3500000,0.0215249
Dot_Product,3500000,0.0158533
Dot_Product,3500000,0.0234458
Dot_Product,3500000,0.0176156
Dot_Product,3500000,0.0152947
Dot_Product,3500000,0.0206009
Dot_Product,3500000,0.0166124
Dot_Product,3500000,0.0150915
Dot_Product,3500000,0.0210986
Dot_Product,3500000,0.0225299
Dot_Product,4000000,0.0184729
Dot_Product,4000000,0.0218058
Dot_Product,4000000,0.0180602
Dot_Product,4000000,0.0148891
Dot_Product,4000000,0.0227128
Dot_Product,4000000,0.0195913
Dot_Product,4000000,0.0154466
Dot_Product,4000000,0.0223098
Dot_Product,4000000,0.019372
Dot_Product,4000000,0.0158801
Dot_Product,4500000,0.0237574
Dot_Product,4500000,0.0221916
Dot_Product,4500000,0.0209809
Dot_Product,4500000,0.0177195
Dot_Product,4500000,0.0257958
Dot_Product,4500000,0.0226065
Dot_Product,4500000,0.0221928
Dot_Product,4500000,0.0180253
Dot_Product,4500000,0.0241124
Dot_Product,4500000,0.0210145
Dot_Product,5000000,0.0251145
Dot_Product,5000000,0.0203895
Dot_Product,5000000,0.0294014
Dot_Product,5000000,0.0237498
Dot_Product,5000000,0.0247129
Dot_Product,5000000,0.020707
Dot_Product,5000000,0.0280987
Dot_Product,5000000,0.0237917
Dot_Product,5000000,0.0267223
Dot_Product,5000000,0.0236664
Dot_Product,5500000,0.0289854
Dot_Product,5500000,0.0251099
Dot_Product,5500000,0.026282
Dot_Product,5500000,0.0227123
Dot_Product,5500000,0.0296436
Dot_Product,5500000,0.0272409
Dot_Product,5500000,0.0258201
Dot_Product,5500000,0.022278
Dot_Product,5500000,0.0390329
Dot_Product,5500000,0.0285021
Dot_Product,6000000,0.0300923
Dot_Product,6000000,0.0241515
Dot_Product,6000000,0.0357359
Dot_Product,6000000,0.0346968
Dot_Product,6000000,0.028064
Dot_Product,6000000,0.0237566
Dot_Product,6000000,0.0324912
Dot_Product,6000000,0.0288138
Dot_Product,6000000,0.0336394
Dot_Product,6000000,0.0245171
Dot_Product,6500000,0.0360421
Dot_Product,6500000,0.0303462
Dot_Product,6500000,0.0300311
Dot_Product,6500000,0.0310411
Dot_Product,6500000,0.0307543
Dot_Product,6500000,0.0331312
Dot_Product,6500000,0.0321372
Dot_Product,6500000,0.0332749
Dot_Product,6500000,0.0319461
Dot_Product,6500000,0.0394601
Dot_Product,7000000,0.0348524
Dot_Product,7000000,0.0368489
Dot_Product,7000000,0.0413121
Dot_Product,7000000,0.0354237
Dot_Product,7000000,0.0370693
Dot_Product,7000000,0.0318955
Dot_Product,7000000,0.033399
Dot_Product,7000000,0.0337841
Dot_Product,7000000,0.036146
Dot_Product,7000000,0.0318038
Dot_Product,7500000,0.0388813
Dot_Product,7500000,0.0366861
Dot_Product,7500000,0.0371876
Dot_Product,7500000,0.0344928
Dot_Product,7500000,0.0353246
Dot_Product,7500000,0.0348508
Dot_Product,7500000,0.0354346
Dot_Product,7500000,0.0374218
Dot_Product,7500000,0.0368275
Dot_Product,7500000,0.0349498
Dot_Product,8000000,0.0371613
Dot_Product,8000000,0.0380791
Dot_Product,8000000,0.0382412
Dot_Product,8000000,0.0374877
Dot_Product,8000000,0.0367733
Dot_Product,8000000,0.0428065
Dot_Product,8000000,0.0406154
Dot_Product,8000000,0.0379625
Dot_Product,8000000,0.0423657
Dot_Product,8000000,0.0452141
Dot_Product,8500000,0.04578
Dot_Product,8500000,0.043202
Dot_Product,8500000,0.0401545
Dot_Product,8500000,0.0402265
Dot_Product,8500000,0.039651
Dot_Product,8500000,0.0406205
Dot_Product,8500000,0.0413803
Dot_Product,8500000,0.0406304
Dot_Product,8500000,0.0394707
Dot_Product,8500000,0.042601
Dot_Product,9000000,0.0419772
Dot_Product,9000000,0.0435463
Dot_Product,9000000,0.0422473
Dot_Product,9000000,0.0427366
Dot_Product,9000000,0.0424873
Dot_Product,9000000,0.0435995
Dot_Product,9000000,0.0442756
Dot_Product,9000000,0.041602
Dot_Product,9000000,0.0405708
Dot_Product,9000000,0.0437438
Dot_Product,9500000,0.0466662
Dot_Product,9500000,0.0461179
Dot_Product,9500000,0.0496021
Dot_Product,9500000,0.0448458
Dot_Product,9500000,0.0437317
Dot_Product,9500000,0.0437111
Dot_Product,9500000,0.0460839
Dot_Product,9500000,0.0452884
Dot_Product,9500000,0.0446599
Dot_Product,9500000,0.0474213
Dot_Product,10000000,0.050595
Dot_Product,10000000,0.0468774
Dot_Product,10000000,0.0481412
Dot_Product,10000000,0.0475029
Dot_Product,10000000,0.047871
Dot_Product,10000000,0.0469026
Dot_Product,10000000,0.0473701
Dot_Product,10000000,0.0486308
Dot_Product,10000000,0.0465114
Dot_Product,10000000,0.0438596
Dot_Product,10500000,0.0501074
Dot_Product,10500000,0.0509504
Dot_Product,10500000,0.0490625
Dot_Product,10500000,0.051052
Dot_Product,10500000,0.0574062
Dot_Product,10500000,0.0495571
Dot_Product,10500000,0.0506359
Dot_Product,10500000,0.0495001
Dot_Product,10500000,0.048749
Dot_Product,10500000,0.0534049
Dot_Product,11000000,0.0551283
Dot_Product,11000000,0.050835
Dot_Product,11000000,0.0536173
Dot_Product,11000000,0.0528817
Dot_Product,11000000,0.0541758
Dot_Product,11000000,0.0532354
Dot_Product,11000000,0.0540609
