Size,Scalar_Time,Matrix_Time
3000,9.3e-6,0.0016977
3500,9.5e-6,0.0039346
4000,1.94e-5,0.0049908
4500,1.25e-5,0.0034842
5000,1.04e-5,0.0052888
5500,2.46e-5,0.0070842
6000,1.13e-5,0.0074732
6500,1.28e-5,0.008573
7000,2.95e-5,0.0085452
7500,1.28e-5,0.0115498
8000,1.33e-5,0.0142121
8500,1.8e-5,0.0153977
9000,2.39e-5,0.0190002
9500,2.29e-5,0.0191644
10000,1.37e-5,0.0212524
10500,0.0001779,0.0206455
11000,0.0002683,0.0249405
11500,0.0003929,0.0290107
12000,0.0002775,0.0277039
12500,0.0001962,0.0338596
13000,0.0003657,0.0335348
13500,0.0002922,0.0376364
14000,0.0003432,0.0381848
14500,0.0001678,0.0426279
15000,0.0002172,0.0462
15500,0.0003271,0.054051
16000,0.0001909,0.0519605
16500,0.0004617,0.0513993
17000,0.0002067,0.0626902
17500,0.0003601,0.0616806
18000,0.0001018,0.0671171
18500,0.0002896,0.0756613
19000,9.15e-5,0.0779765
19500,0.0002869,0.0798588
20000,0.0004227,0.1044439
500,5.2e-6,0.0003041
1000,4.7e-6,0.0003581
1500,7.6e-6,0.0006148
2000,2.35e-5,0.0010955
2500,8.4e-6,0.001214
3000,8.5e-6,0.0014673
3500,1.01e-5,0.0027736
4000,1.04e-5,0.0037183
4500,1.01e-5,0.0045625
5000,1.29e-5,0.0060139
5500,1.07e-5,0.0061375
6000,1.14e-5,0.0077688
6500,1.25e-5,0.0094219
7000,1.23e-5,0.0108335
7500,1.25e-5,0.0103157
8000,1.64e-5,0.0134134
8500,3.59e-5,0.0147367
9000,1.41e-5,0.0202707
9500,1.63e-5,0.0194689
10000,1.54e-5,0.0204983
10500,0.0002388,0.0244068
11000,0.0001923,0.0269261
11500,0.0001817,0.0296991
12000,0.0003227,0.0307116
12500,0.0002872,0.0359444
13000,0.0002451,0.0332721
13500,0.0003243,0.0395853
14000,0.0002684,0.0401468
14500,0.0001727,0.0454053
15000,0.0002685,0.0489031
15500,0.0003536,0.0495281
16000,0.0001402,0.0533958
16500,0.0003746,0.0584126
17000,0.0003713,0.0604463
17500,0.0001868,0.0683776
18000,8.72e-5,0.0745963
18500,0.0002168,0.0706286
19000,0.0002429,0.0779801
19500,0.0002629,0.0767963
20000,0.0002372,0.0880664
500,4.6e-6,0.0003737
1000,2.1e-6,0.0003033
1500,4.9e-6,0.0006338
2000,9.7e-6,0.0010237
2500,7.5e-6,0.0014394
3000,9.6e-6,0.0015774
3500,1.15e-5,0.003051
4000,1.52e-5,0.0030517
4500,1.09e-5,0.0050047
5000,1.12e-5,0.0040338
5500,1.63e-5,0.006404
6000,1.17e-5,0.0078391
6500,1.2e-5,0.0075045
7000,1.2e-5,0.010657
7500,1.85e-5,0.0091551
8000,1.75e-5,0.0140513
8500,1.35e-5,0.0141861
9000,1.48e-5,0.0207604
9500,2.16e-5,0.0203078
10000,3.33e-5,0.0195548
10500,0.0003285,0.0238548
11000,0.0002138,0.0248984
11500,9.45e-5,0.0302703
12000,0.0003658,0.0320148
12500,0.0003256,0.0325464
